0202011061812520824EA20201109001800000040000000000000130250001378                                                   004894
16012  000000009500                                                                                                 004008
16033  000000002900                                                                                                 004008
15347  000000004400                                                                                                 004012
17113  000000005300                                                                                                 004005
14731  000000002500                                                                                                 004007
15031  000000002200                                                                                                 003998
14707  000000000200                                                                                                 004005
14197  000000011100                                                                                                 004009
15246  000000006600                                                                                                 004014
15168  000000001400                                                                                                 004010
15398  000000006900                                                                                                 004025
17084  000000003700                                                                                                 004014
15285  000000004700                                                                                                 004016
15225  000000004500                                                                                                 004008
12445  000000001000                                                                                                 004001
15236  000000013600                                                                                                 004011
16139  000000004900                                                                                                 004017
15878  000000022100                                                                                                 004018
10097  000000011000                                                                                                 004002
2EOF                                                                                                                003852
